Data,Qtd. Vendas,Temperatura (°C)
2025-01-01,89,26
2025-01-02,39,17
2025-01-03,39,16
2025-01-04,73,34
2025-01-05,65,26
2025-01-06,58,16
2025-01-07,69,28
2025-01-08,111,30
2025-01-09,76,24
2025-01-10,63,21
2025-01-11,55,17
2025-01-12,72,30
2025-01-13,83,36
2025-01-14,62,22
2025-01-15,111,35
2025-01-16,118,32
2025-01-17,43,22
2025-01-18,132,40
2025-01-19,134,35
2025-01-20,47,22
2025-01-21,70,24
2025-01-22,94,31
2025-01-23,77,28
2025-01-24,94,33
2025-01-25,84,33
2025-01-26,55,25
2025-01-27,76,29
2025-01-28,110,33
2025-01-29,24,16
2025-01-30,79,21
2025-01-31,110,34
2025-02-01,135,33
2025-02-02,57,26
2025-02-03,71,23
2025-02-04,99,39
2025-02-05,64,26
2025-02-06,97,26
2025-02-07,123,39
2025-02-08,101,29
2025-02-09,89,26
2025-02-10,66,30
2025-02-11,82,22
2025-02-12,134,33
2025-02-13,62,21
2025-02-14,92,29
2025-02-15,109,32
2025-02-16,87,35
2025-02-17,80,25
2025-02-18,69,27
2025-02-19,104,37
2025-02-20,72,22
2025-02-21,121,36
2025-02-22,100,29
2025-02-23,46,19
2025-02-24,75,31
2025-02-25,80,34
2025-02-26,123,37
2025-02-27,45,16
2025-02-28,91,35
2025-03-01,45,19
2025-03-02,108,40
2025-03-03,65,27
2025-03-04,51,19
2025-03-05,51,15
2025-03-06,63,15
2025-03-07,101,36
2025-03-08,130,37
2025-03-09,88,31
2025-03-10,112,35
2025-03-11,87,30
2025-03-12,65,28
2025-03-13,100,31
2025-03-14,65,17
2025-03-15,90,30
2025-03-16,46,20
2025-03-17,91,33
2025-03-18,121,38
2025-03-19,95,34
2025-03-20,76,30
2025-03-21,64,19
2025-03-22,81,23
2025-03-23,84,24
2025-03-24,36,16
2025-03-25,89,27
2025-03-26,90,22
2025-03-27,85,32
2025-03-28,28,16
2025-03-29,123,31
2025-03-30,121,37
2025-03-31,80,20
2025-04-01,42,19
2025-04-02,70,29
2025-04-03,51,17
2025-04-04,123,38
2025-04-05,55,16
2025-04-06,97,32
2025-04-07,64,28
2025-04-08,110,31
2025-04-09,140,36
2025-04-10,62,27
