"Qual é a definição de uma operação de investimento, segundo Benjamin Graham?","É aquela que, após análise aprofundada, promete a segurança do principal e um retorno adequado."
Qualquer operação que não atende aos critérios de uma operação de investimento é considerada uma _____.,especulação
Qual é a Regra nº 1 de Warren Buffett para investir?,Nunca perca dinheiro.
Qual é a Regra nº 2 de Warren Buffett para investir?,Nunca se esqueça da regra nº 1.
Quem é a personagem metafórica criada por Benjamin Graham para representar as flutuações irracionais e emocionais do mercado de ações?,O Sr. Mercado (Mr. Market).
Como um investidor inteligente deve tratar as ofertas diárias do Sr. Mercado?,"Deve ignorá-las ou aproveitá-las, comprando quando os preços estão ridiculamente baixos e vendendo quando estão ridiculamente altos."
"O que significa o conceito central de ""margem de segurança"" no investimento?",Comprar um ativo por um preço significativamente abaixo de seu valor intrínseco para se proteger contra erros de julgamento ou má sorte.
"Segundo Warren Buffett, é muito melhor comprar uma empresa maravilhosa por um preço justo do que uma _____.",empresa justa por um preço maravilhoso
Benjamin Graham divide os investidores em duas categorias. Quais são elas?,"O investidor ""defensivo"" (passivo) e o investidor ""empreendedor"" (ativo)."
Qual é o principal objetivo do investidor defensivo?,"Evitar erros ou perdas graves e se libertar de esforço, aborrecimento e da necessidade de tomar decisões frequentes."
Qual política de alocação de ativos Graham recomenda para o investidor defensivo?,"Manter uma divisão de 50-50 entre ações e títulos, rebalanceando periodicamente."
"Para o investidor defensivo, a proporção de ações na carteira nunca deve ser inferior a _____ nem superior a _____.",25%; 75%
"Segundo Morgan Housel, o que tem mais influência sobre as decisões financeiras de uma pessoa do que o conhecimento aprendido?",As experiências pessoais e a visão única de mundo de cada um.
"Qual é o segredo do sucesso financeiro de Warren Buffett, além de sua habilidade de investir, segundo o audiolivro ""A Psicologia Financeira""?","O tempo (longevidade), que permite a ação dos juros compostos."
"De acordo com o audiolivro ""A Psicologia Financeira"", ganhar dinheiro é uma coisa, mas mantê-lo é outra. Qual palavra sintetiza o sucesso financeiro?",Sobrevivência.
"Para que os juros compostos funcionem de forma extraordinária, é necessário sobreviver a todos os _____ e _____ imprevisíveis ao longo do tempo.",altos; baixos
O que Warren Buffett não fez que foi crucial para sua sobrevivência como investidor?,Ele não se endividou excessivamente nem entrou em pânico para vender durante as recessões.
"Segundo Benjamin Graham, para ter uma chance razoável de resultados acima da média, o investidor deve seguir políticas que sejam inerentemente sólidas e _____.",não populares em Wall Street
"De acordo com a filosofia de Graham, o investidor inteligente se concentra no desempenho dos _____ e não no comportamento do Sr. Mercado.",negócios subjacentes
"Warren Buffett afirma: ""Preço é o que você paga. _____ é o que você recebe.""",Valor
"Segundo Graham, um dos principais problemas do investidor, e até seu pior inimigo, é provavelmente _____.",ele mesmo
"Ser um investidor inteligente é mais uma questão de _____ do que de ""cérebro"".",caráter (ou disciplina emocional)
"Qual o conselho de Buffett sobre diversificação, parafraseando Mark Twain?","""Coloque todos os seus ovos em uma cesta e - vigie a cesta."""
"O que Graham quer dizer com a afirmação ""o investimento é mais inteligente quando é mais empresarial""?","Que investir deve ser um esforço sistemático para maximizar o retorno razoável e minimizar a probabilidade de perdas severas, como gerir um negócio."
"Segundo Graham, você está certo porque seus _____ e seu _____ estão certos, não porque a multidão discorda de você.",dados; raciocínio
O capitalismo moderno é ótimo em gerar duas coisas: riqueza e _____.,inveja
"De acordo com ""A Psicologia Financeira"", a felicidade é o que sobra dos resultados depois de subtraídas as nossas _____.",expectativas
O que é mais importante para a acumulação de riqueza: ter uma alta renda ou ter uma alta taxa de poupança?,Ter uma alta taxa de poupança.
"Em seu livro, Graham afirma que as perspectivas óbvias de crescimento físico de um negócio não se traduzem em _____.",lucros óbvios para os investidores
Que tipo de empresa Graham recomendava comprar para ter uma margem de segurança?,Empresas cujas ações são vendidas por um preço pouco acima do valor de seus ativos tangíveis.
Qual foi a fórmula revisada de Benjamin Graham para calcular o valor intrínseco (V*) de uma empresa em 1974?,$V^{*} = \frac{EPS \times (8.5+2g) \times 4.4}{Y}$
"Na fórmula de Graham, o que o número '8.5' representa?",A base do P/L (Preço/Lucro) para uma empresa sem crescimento.
"Na fórmula de Graham, o que a variável 'Y' representa?",O rendimento atual dos títulos corporativos AAA.
"O que o método de investimento ""custo médio em dólares"" (dollar-cost averaging) envolve?","Investir uma quantia fixa de dinheiro em intervalos regulares, independentemente das flutuações do preço do ativo."
Que conselho Buffett dá aos pais sobre ensinar os filhos a separar 'necessidades' de 'desejos'?,Ajudá-los a entender a diferença entre o que é essencial para viver e o que são luxos ou vontades passageiras.
Qual é um dos primeiros conselhos de Warren Buffett para ensinar as crianças sobre dinheiro?,Começar a conversa cedo e ensinar o valor de poupar.
A psicologia financeira ensina que o que parece loucura para você pode fazer _____ para outra pessoa com base em suas experiências.,sentido completo
"O pessimismo soa mais inteligente e plausível que o otimismo porque o crescimento é impulsionado pela composição, que leva tempo, enquanto a destruição pode acontecer em _____.",segundos
"Ao tomar decisões financeiras, Morgan Housel sugere que em vez de ser friamente racional, o objetivo deve ser ser bastante _____.",razoável
"De acordo com Graham, o investidor estaria melhor se suas ações não tivessem cotação de mercado, pois seria poupado da _____.",angústia mental causada pelos erros de julgamento de outras pessoas
O que Warren Buffett nunca tenta fazer no mercado de ações?,Ele nunca tenta ganhar dinheiro no mercado de ações; ele compra com a suposição de que o mercado poderia fechar no dia seguinte por cinco anos.
"Para o investidor defensivo, Graham sugere limitar a compra de ações a um preço que não seja superior a quantas vezes o lucro médio dos últimos sete anos?",25 vezes.
"Qual é a principal crítica de Graham aos fundos de ""performance"" que se tornaram populares em sua época?",Que seus resultados espetaculares indicavam apenas que os gestores estavam assumindo riscos especulativos indevidos.
O que Graham aconselha sobre a compra de IPOs (ofertas públicas iniciais)?,O investidor inteligente deve resistir aos encantos dos vendedores que oferecem novas emissões de ações durante os mercados em alta.
"Qual é o principal problema do investidor, e até o seu pior inimigo, de acordo com Benjamin Graham?",Ele mesmo (suas próprias emoções e psicologia).
"Em vez de se basear em otimismo, as operações com fins lucrativos devem se basear na _____.",aritmética
"Qual é um dos principais riscos de se concentrar em ""growth stocks"" (ações de crescimento)?","Pagar um preço excessivo pela valorização esperada, que pode não se materializar."
"Por que, segundo Graham, a maioria dos fundos de investimento não consegue superar a média do mercado a longo prazo?",Devido aos custos operacionais e à tendência de seguir o comportamento da manada.
O que a história financeira diz claramente sobre obter resultados satisfatórios com ações de empresas secundárias?,"O investidor só pode esperar resultados satisfatórios se as comprar por menos do que seu valor para um proprietário privado, ou seja, com um desconto."
O que o fenômeno das bolhas financeiras nos ensina sobre a racionalidade dos investidores?,"As bolhas se formam quando as pessoas se movem com racionalidade de curto prazo para surfar no embalo do mercado, não por irracionalidade de longo prazo."
"Por que os pessimistas frequentemente erram em suas previsões, de acordo com o audiolivro ""A Psicologia Financeira""?",Porque eles extrapolam as tendências atuais sem levar em conta a capacidade de adaptação dos mercados e das pessoas.
A principal diferença entre letramento financeiro e educação financeira é que o primeiro é o conhecimento e o segundo é a aplicação desse conhecimento para tomar _____.,decisões eficazes
